feature,value
rental_vacancy_rate,0.47766423516367096
division_Mountain,0.12415323709936255
median_income,0.10061086468350659
total_population,0.0810892479054794
hpi,0.06248347507360313
total_households,0.04657941296280817
division_New England,0.034157378211773455
construction_permits,0.029533091343906106
time_index,0.024200696840700097
division_West North Central,0.00822781317449232
division_Pacific,0.004075194917939408
unemployment_rate,0.0038032489416979526
bachelors_pct,0.0027522956911220564
division_Middle Atlantic,0.0004466625645179887
division_South Atlantic,4.040112923398852e-05
month_12,3.285465187500849e-05
month_5,2.0522810048787485e-05
month_11,1.7797873338220775e-05
month_3,1.673288472715336e-05
month_6,1.663240782874803e-05
month_4,1.6100072899992004e-05
month_2,1.2958445896035637e-05
month_10,1.1178007303859166e-05
month_8,9.69340676333542e-06
month_7,9.460182678202688e-06
month_9,9.025313010446824e-06
division_West South Central,4.992990343889086e-06
division_East South Central,4.795249471942778e-06
